Chain,Park,Name,Height,Speed,Length,Inversions,URL
Cedar Fair,Cedar Point,Millennium Force,310.0,93.0,6595.0,0,https://rcdb.com/594.htm
Cedar Fair,Cedar Point,GateKeeper,170.0,67.0,4164.0,6,https://rcdb.com/10891.htm
Cedar Fair,Cedar Point,Steel Vengeance,205.0,74.0,5740.0,4,https://rcdb.com/15411.htm
Cedar Fair,Cedar Point,Corkscrew,85.0,48.0,2050.0,3,https://rcdb.com/13.htm
Cedar Fair,Cedar Point,Magnum XL-200,205.0,72.0,5106.0,0,https://rcdb.com/11.htm
Cedar Fair,Cedar Point,Rougarou,145.0,60.0,3900.0,4,https://rcdb.com/7.htm
Cedar Fair,Cedar Point,Woodstock Express,42.7,28.5,1099.1,0,https://rcdb.com/553.htm
Cedar Fair,Cedar Point,Maverick,105.0,70.0,4450.0,2,https://rcdb.com/3570.htm
Cedar Fair,Cedar Point,Iron Dragon,76.0,40.0,2800.0,0,https://rcdb.com/17.htm
Cedar Fair,Cedar Point,Top Thrill 2,420.0,120.0,3422.0,0,https://rcdb.com/1896.htm
Cedar Fair,Cedar Point,Raptor,137.0,57.0,3790.0,6,https://rcdb.com/1.htm
Cedar Fair,Cedar Point,Valravn,223.0,75.0,3415.0,3,https://rcdb.com/13383.htm
Cedar Fair,Cedar Point,Blue Streak,78.0,40.0,2558.0,0,https://rcdb.com/12.htm
Cedar Fair,Cedar Point,Wild Mouse,52.0,35.0,1312.0,0,https://rcdb.com/20342.htm
Cedar Fair,Cedar Point,Cedar Creek Mine Ride,48.0,42.0,2540.0,0,https://rcdb.com/18.htm
Cedar Fair,Cedar Point,Wilderness Run,19.0,6.0,443.0,0,https://rcdb.com/15.htm
Cedar Fair,Cedar Point,Gemini,125.3,60.0,3935.0,0,https://rcdb.com/14.htm
Cedar Fair,Cedar Point,Siren’s Curse,160.0,58.4,2965.9,2,https://rcdb.com/22124.htm
Cedar Fair,Kings Island,Bat,78.0,51.0,2352.0,0,https://rcdb.com/73.htm
Cedar Fair,Kings Island,Racer,88.0,53.0,3415.0,0,https://rcdb.com/69.htm
Cedar Fair,Kings Island,Flight of Fear,74.2,54.0,2705.0,4,https://rcdb.com/66.htm
Cedar Fair,Kings Island,Woodstock Express,39.0,35.0,1350.0,0,https://rcdb.com/72.htm
Cedar Fair,Kings Island,Adventure Express,63.0,35.0,2963.0,0,https://rcdb.com/70.htm
Cedar Fair,Kings Island,Diamondback,230.0,80.0,5282.0,0,https://rcdb.com/4253.htm
Cedar Fair,Kings Island,Banshee,167.0,68.0,4124.0,7,https://rcdb.com/6640.htm
Cedar Fair,Kings Island,Mystic Timbers,109.2,53.0,3265.0,0,https://rcdb.com/14116.htm
Cedar Fair,Kings Island,Queen City Stunt Coaster,45.2,40.0,1960.0,0,https://rcdb.com/2860.htm
Cedar Fair,Kings Island,Beast,110.0,64.8,7361.0,0,https://rcdb.com/67.htm
Cedar Fair,Kings Island,Orion,287.0,91.0,5321.0,0,https://rcdb.com/11437.htm
Cedar Fair,Kings Island,Snoopy's Soap Box Racers,75.5,37.3,672.6,0,https://rcdb.com/21087.htm
Cedar Fair,Kings Island,Woodstock’s Air Rail,48.6,26.0,1122.0,0,https://rcdb.com/1037.htm
Cedar Fair,Kings Island,Invertigo,131.3,50.0,1013.8,3,https://rcdb.com/530.htm
Cedar Fair,Kings Island,Great Pumpkin Coaster,8.0,8.0,199.3,0,https://rcdb.com/74.htm
Cedar Fair,Carowinds,Carolina Goldrusher,43.0,30.0,2397.0,0,https://rcdb.com/83.htm
Cedar Fair,Carowinds,Wilderness Run,16.0,,416.0,0,https://rcdb.com/498.htm
Cedar Fair,Carowinds,Snoopy’s Racing Railway,,31.1,,0,https://rcdb.com/22011.htm
Cedar Fair,Carowinds,Flying Cobras,116.5,47.0,935.0,3,https://rcdb.com/4269.htm
Cedar Fair,Carowinds,Ricochet,45.9,28.0,1213.9,0,https://rcdb.com/1478.htm
Cedar Fair,Carowinds,Thunder Striker,232.0,75.0,5316.0,0,https://rcdb.com/8588.htm
Cedar Fair,Carowinds,Copperhead Strike,82.0,50.0,3255.0,5,https://rcdb.com/16349.htm
Cedar Fair,Carowinds,Carolina Cyclone,95.0,41.0,2100.0,4,https://rcdb.com/81.htm
Cedar Fair,Carowinds,Hurler,83.0,50.0,3157.0,0,https://rcdb.com/85.htm
Cedar Fair,Carowinds,Kiddy Hawk,48.6,26.0,1122.0,0,https://rcdb.com/1897.htm
Cedar Fair,Carowinds,Vortex,90.0,50.0,2040.0,2,https://rcdb.com/86.htm
Cedar Fair,Carowinds,Fury 325,325.0,95.0,6602.0,0,https://rcdb.com/12273.htm
Cedar Fair,Carowinds,Afterburn,113.0,62.0,2956.0,6,https://rcdb.com/527.htm
Cedar Fair,Carowinds,Woodstock Express,,,1356.0,0,https://rcdb.com/82.htm
Cedar Fair,Canada's Wonderland,Bat,116.5,47.0,935.0,3,https://rcdb.com/64.htm
Cedar Fair,Canada's Wonderland,Backlot Stunt Coaster,45.2,40.0,1960.0,0,https://rcdb.com/2861.htm
Cedar Fair,Canada's Wonderland,Vortex,91.0,55.0,2361.0,0,https://rcdb.com/65.htm
Cedar Fair,Canada's Wonderland,Fly,51.8,35.0,1312.3,0,https://rcdb.com/540.htm
Cedar Fair,Canada's Wonderland,Silver Streak,48.6,26.0,1122.0,0,https://rcdb.com/734.htm
Cedar Fair,Canada's Wonderland,Taxi Jam,,,,0,https://rcdb.com/506.htm
Cedar Fair,Canada's Wonderland,Behemoth,230.0,77.0,5318.0,0,https://rcdb.com/4005.htm
Cedar Fair,Canada's Wonderland,Wonder Mountain's Guardian,60.0,,1000.0,0,https://rcdb.com/12140.htm
Cedar Fair,Canada's Wonderland,AlpenFury,164.0,71.5,3280.8,7,https://rcdb.com/22016.htm
Cedar Fair,Canada's Wonderland,Wilde Beast,82.0,56.0,3150.0,0,https://rcdb.com/60.htm
Cedar Fair,Canada's Wonderland,Dragon Fyre,78.0,50.0,2160.0,4,https://rcdb.com/58.htm
Cedar Fair,Canada's Wonderland,Thunder Run,33.0,40.0,1083.0,0,https://rcdb.com/63.htm
Cedar Fair,Canada's Wonderland,Mighty Canadian Minebuster,90.0,55.9,3828.0,0,https://rcdb.com/59.htm
Cedar Fair,Canada's Wonderland,Leviathan,306.0,92.0,5486.0,0,https://rcdb.com/10108.htm
Cedar Fair,Canada's Wonderland,Snoopy's Racing Railway,,31.1,,0,https://rcdb.com/20343.htm
Cedar Fair,Canada's Wonderland,Ghoster Coaster,41.0,35.0,1356.0,0,https://rcdb.com/61.htm
Cedar Fair,Canada's Wonderland,Yukon Striker,223.0,80.8,3625.0,4,https://rcdb.com/16021.htm
Cedar Fair,Canada's Wonderland,Flight Deck,109.3,49.7,2260.5,5,https://rcdb.com/57.htm
Cedar Fair,Knott's Berry Farm,HangTime,150.0,57.0,2198.0,5,https://rcdb.com/15413.htm
Cedar Fair,Knott's Berry Farm,Sierra Sidewinder,64.0,36.9,1505.9,0,https://rcdb.com/3704.htm
Cedar Fair,Knott's Berry Farm,Coast Rider,52.0,37.0,1339.0,0,https://rcdb.com/11074.htm
Cedar Fair,Knott's Berry Farm,Xcelerator,205.0,82.0,2202.0,0,https://rcdb.com/1574.htm
Cedar Fair,Knott's Berry Farm,Silver Bullet,146.0,55.0,3125.0,6,https://rcdb.com/2536.htm
Cedar Fair,Knott's Berry Farm,Pony Express,44.3,38.0,1250.0,0,https://rcdb.com/4089.htm
Cedar Fair,Knott's Berry Farm,Snoopy’s Tenderpaw Twister Coaster,,,,0,https://rcdb.com/21371.htm
Cedar Fair,Knott's Berry Farm,Jaguar!,65.0,35.0,2602.0,0,https://rcdb.com/291.htm
Cedar Fair,Knott's Berry Farm,GhostRider,118.0,56.0,4533.0,0,https://rcdb.com/526.htm
Cedar Fair,California's Great America,Grizzly,91.0,55.0,3250.0,0,https://rcdb.com/77.htm
Cedar Fair,California's Great America,Psycho Mouse,,,1257.0,0,https://rcdb.com/1036.htm
Cedar Fair,California's Great America,Flight Deck,102.0,50.0,2260.0,3,https://rcdb.com/80.htm
Cedar Fair,California's Great America,Demon,102.0,50.0,2130.0,4,https://rcdb.com/76.htm
Cedar Fair,California's Great America,Lucy's Crabbie Cabbies,,,,0,https://rcdb.com/536.htm
Cedar Fair,California's Great America,Gold Striker,108.2,53.7,3197.0,0,https://rcdb.com/10857.htm
Cedar Fair,California's Great America,Woodstock Express,,,1300.0,0,https://rcdb.com/78.htm
Cedar Fair,California's Great America,Patriot,91.0,45.0,1920.0,2,https://rcdb.com/79.htm
Cedar Fair,California's Great America,RailBlazer,106.0,52.0,1800.0,3,https://rcdb.com/15412.htm
Cedar Fair,Kings Dominion,Reptilian,,41.0,,0,https://rcdb.com/282.htm
Cedar Fair,Kings Dominion,Apple Zapple,51.8,35.0,1312.3,0,https://rcdb.com/930.htm
Cedar Fair,Kings Dominion,Great Pumpkin Coaster,,,,0,https://rcdb.com/456.htm
Cedar Fair,Kings Dominion,Racer 75,85.0,56.0,3368.5,0,https://rcdb.com/88.htm
Cedar Fair,Kings Dominion,Twisted Timbers,111.0,54.0,3361.0,3,https://rcdb.com/15028.htm
Cedar Fair,Kings Dominion,Tumbili,112.0,34.0,770.0,0,https://rcdb.com/18846.htm
Cedar Fair,Kings Dominion,Backlot Stunt Coaster,45.2,40.0,1960.0,0,https://rcdb.com/3302.htm
Cedar Fair,Kings Dominion,Rapterra,145.0,65.0,3086.0,3,https://rcdb.com/21885.htm
Cedar Fair,Kings Dominion,Pantherian,305.0,90.0,5100.0,0,https://rcdb.com/4520.htm
Cedar Fair,Kings Dominion,Woodstock Express,35.0,35.0,1385.0,0,https://rcdb.com/89.htm
Cedar Fair,Kings Dominion,Grizzly,87.0,51.0,3150.0,0,https://rcdb.com/90.htm
Cedar Fair,Kings Dominion,Flight of Fear,74.2,54.0,2705.0,4,https://rcdb.com/138.htm
Cedar Fair,Kings Dominion,Dominator,157.0,65.0,4210.0,5,https://rcdb.com/4079.htm
Cedar Fair,Dorney Park,Thunderhawk,80.0,45.0,2767.0,0,https://rcdb.com/239.htm
Cedar Fair,Dorney Park,Wild Mouse,49.3,28.0,1213.9,0,https://rcdb.com/601.htm
Cedar Fair,Dorney Park,Steel Force,200.0,75.0,5600.0,0,https://rcdb.com/276.htm
Cedar Fair,Dorney Park,Talon,135.0,58.0,3110.0,4,https://rcdb.com/735.htm
Cedar Fair,Dorney Park,Possessed,185.0,70.0,629.9,0,https://rcdb.com/4039.htm
Cedar Fair,Dorney Park,Woodstock Express,13.0,10.0,262.5,0,https://rcdb.com/642.htm
Cedar Fair,Dorney Park,Hydra the Revenge,95.0,53.0,3198.0,7,https://rcdb.com/2528.htm
Cedar Fair,Dorney Park,Iron Menace,160.0,64.0,2169.0,4,https://rcdb.com/21085.htm
Cedar Fair,Worlds of Fun,Mamba,205.0,75.0,5600.0,0,https://rcdb.com/469.htm
Cedar Fair,Worlds of Fun,Prowler,102.3,51.2,3074.0,0,https://rcdb.com/4296.htm
Cedar Fair,Worlds of Fun,Timber Wolf,100.0,53.0,4230.0,0,https://rcdb.com/22.htm
Cedar Fair,Worlds of Fun,Patriot,149.0,60.0,3081.0,4,https://rcdb.com/3244.htm
Cedar Fair,Worlds of Fun,Boomerang,116.5,47.0,935.0,3,https://rcdb.com/653.htm
Cedar Fair,Worlds of Fun,Cosmic Coaster,15.0,5.0,444.0,0,https://rcdb.com/102.htm
Cedar Fair,Worlds of Fun,Spinning Dragons,54.0,31.0,1345.0,0,https://rcdb.com/2572.htm
Cedar Fair,Worlds of Fun,Zambezi Zinger,74.0,45.0,2428.0,0,https://rcdb.com/20340.htm
Cedar Fair,Valleyfair,Renegade,97.5,51.3,3113.0,0,https://rcdb.com/3660.htm
Cedar Fair,Valleyfair,Wild Thing,207.0,74.0,5460.0,0,https://rcdb.com/137.htm
Cedar Fair,Valleyfair,Excalibur,100.0,54.5,2415.0,0,https://rcdb.com/119.htm
Cedar Fair,Valleyfair,Cosmic Coaster,14.0,20.0,213.3,0,https://rcdb.com/9837.htm
Cedar Fair,Valleyfair,Steel Venom,185.0,70.0,630.0,0,https://rcdb.com/1920.htm
Cedar Fair,Valleyfair,Mad Mouse,50.0,30.0,1257.0,0,https://rcdb.com/547.htm
Cedar Fair,Valleyfair,High Roller,70.0,50.0,2982.0,0,https://rcdb.com/117.htm
Cedar Fair,Valleyfair,Corkscrew,85.0,50.0,1950.0,3,https://rcdb.com/118.htm
Cedar Fair,Michigan's Adventure,Zach's Zoomer,41.0,,1400.0,0,https://rcdb.com/415.htm
Cedar Fair,Michigan's Adventure,Wolverine Wildcat,85.0,55.0,3000.0,0,https://rcdb.com/219.htm
Cedar Fair,Michigan's Adventure,Thunderhawk,109.3,49.7,2260.5,5,https://rcdb.com/4053.htm
Cedar Fair,Michigan's Adventure,Shivering Timbers,122.0,57.0,5383.0,0,https://rcdb.com/478.htm
Cedar Fair,Michigan's Adventure,Woodstock Express,16.1,,,0,https://rcdb.com/15124.htm
Cedar Fair,Michigan's Adventure,Corkscrew,70.0,45.0,1250.0,2,https://rcdb.com/218.htm
Cedar Fair,Michigan's Adventure,Mad Mouse,68.0,,1268.0,0,https://rcdb.com/537.htm
Six Flags,Six Flags Magic Mountain,Goliath,235.0,85.0,4500.0,0,https://rcdb.com/615.htm
Six Flags,Six Flags Magic Mountain,Apocalypse the Ride,95.0,50.1,2877.0,0,https://rcdb.com/4173.htm
Six Flags,Six Flags Magic Mountain,Twisted Colossus,121.0,57.0,4990.0,2,https://rcdb.com/12282.htm
Six Flags,Six Flags Magic Mountain,Gold Rusher,70.0,35.0,2590.0,0,https://rcdb.com/266.htm
Six Flags,Six Flags Magic Mountain,Viper,188.0,70.0,3830.0,7,https://rcdb.com/25.htm
Six Flags,Six Flags Magic Mountain,Speedy Gonzales Hot Rod Racers,13.1,,262.5,0,https://rcdb.com/9971.htm
Six Flags,Six Flags Magic Mountain,Wonder Woman Flight of Courage,131.0,58.0,3300.0,3,https://rcdb.com/19515.htm
Six Flags,Six Flags Magic Mountain,Scream!,150.0,63.0,3985.0,7,https://rcdb.com/2169.htm
Six Flags,Six Flags Magic Mountain,X2,175.0,76.0,3610.0,2,https://rcdb.com/750.htm
Six Flags,Six Flags Magic Mountain,Tatsu,170.0,62.0,3602.0,4,https://rcdb.com/3305.htm
Six Flags,Six Flags Magic Mountain,Full Throttle,164.0,70.0,2200.0,2,https://rcdb.com/10948.htm
Six Flags,Six Flags Magic Mountain,Batman The Ride,105.0,50.0,2700.0,5,https://rcdb.com/24.htm
Six Flags,Six Flags Magic Mountain,Road Runner Express,27.9,21.7,679.1,0,https://rcdb.com/4346.htm
Six Flags,Six Flags Magic Mountain,Riddler's Revenge,156.0,65.0,4370.0,6,https://rcdb.com/470.htm
Six Flags,Six Flags Magic Mountain,New Revolution,113.0,55.0,3457.0,1,https://rcdb.com/130.htm
Six Flags,Six Flags Magic Mountain,West Coast Racers,67.0,55.0,4000.0,4,https://rcdb.com/16588.htm
Six Flags,Six Flags Magic Mountain,Canyon Blaster,16.0,10.0,416.0,0,https://rcdb.com/576.htm
Six Flags,Six Flags Magic Mountain,Ninja,60.0,55.0,2700.0,0,https://rcdb.com/129.htm
Six Flags,Six Flags Great Adventure & Safari,Flash: Vertical Velocity,172.0,59.0,1430.4,2,https://rcdb.com/21088.htm
Six Flags,Six Flags Great Adventure & Safari,Batman The Ride,105.0,50.0,2693.0,5,https://rcdb.com/32.htm
Six Flags,Six Flags Great Adventure & Safari,Superman - Ultimate Flight,106.0,51.0,2759.0,2,https://rcdb.com/1976.htm
Six Flags,Six Flags Great Adventure & Safari,Joker,120.0,38.0,1019.0,0,https://rcdb.com/13421.htm
Six Flags,Six Flags Great Adventure & Safari,Harley Quinn Crazy Train,26.3,22.4,1181.1,0,https://rcdb.com/567.htm
Six Flags,Six Flags Great Adventure & Safari,Lil' Devil Coaster,13.0,,262.5,0,https://rcdb.com/19460.htm
Six Flags,Six Flags Great Adventure & Safari,Runaway Mine Train,60.0,38.0,2429.0,0,https://rcdb.com/131.htm
Six Flags,Six Flags Great Adventure & Safari,El Toro,181.0,70.0,4400.0,0,https://rcdb.com/3183.htm
Six Flags,Six Flags Great Adventure & Safari,Jersey Devil Coaster,130.0,58.0,3000.0,3,https://rcdb.com/17658.htm
Six Flags,Six Flags Great Adventure & Safari,Nitro,230.0,80.0,5394.0,0,https://rcdb.com/1106.htm
Six Flags,Six Flags Great Adventure & Safari,Dark Knight,,,1213.0,0,https://rcdb.com/4047.htm
Six Flags,Six Flags Great Adventure & Safari,Medusa,142.0,61.0,3985.0,7,https://rcdb.com/502.htm
Six Flags,Six Flags Great Adventure & Safari,Skull Mountain,40.5,33.0,1377.0,0,https://rcdb.com/35.htm
Six Flags,Six Flags Great America,Joker,120.0,38.0,1019.0,0,https://rcdb.com/14187.htm
Six Flags,Six Flags Great America,Wrath of Rakshasa,180.0,67.0,3239.0,5,https://rcdb.com/22031.htm
Six Flags,Six Flags Great America,Batman The Ride,100.0,50.0,2700.0,5,https://rcdb.com/5.htm
Six Flags,Six Flags Great America,Goliath,165.0,72.0,3100.0,2,https://rcdb.com/9972.htm
Six Flags,Six Flags Great America,American Eagle,127.0,66.0,4650.0,0,https://rcdb.com/9.htm
Six Flags,Six Flags Great America,Sprocket Rockets,27.9,21.7,679.1,0,https://rcdb.com/488.htm
Six Flags,Six Flags Great America,Raging Bull,202.0,73.0,5057.0,0,https://rcdb.com/535.htm
Six Flags,Six Flags Great America,Little Dipper,28.0,20.0,700.0,0,https://rcdb.com/8985.htm
Six Flags,Six Flags Great America,Flash: Vertical Velocity,185.0,70.0,630.0,0,https://rcdb.com/747.htm
Six Flags,Six Flags Great America,Dark Knight,,,1213.0,0,https://rcdb.com/4046.htm
Six Flags,Six Flags Great America,X-Flight,120.0,55.0,3000.0,5,https://rcdb.com/10137.htm
Six Flags,Six Flags Great America,Maxx Force,175.0,78.0,1800.0,4,https://rcdb.com/16586.htm
Six Flags,Six Flags Great America,Demon,103.7,50.0,2130.0,4,https://rcdb.com/3.htm
Six Flags,Six Flags Great America,Viper,100.0,50.0,3458.0,0,https://rcdb.com/10.htm
Six Flags,Six Flags Great America,Whizzer,70.0,42.0,3100.0,0,https://rcdb.com/113.htm
Six Flags,Six Flags Great America,Superman - Ultimate Flight,106.0,51.0,2798.0,2,https://rcdb.com/1977.htm
Six Flags,Six Flags Over Texas,New Texas Giant,153.0,65.0,4200.0,0,https://rcdb.com/11662.htm
Six Flags,Six Flags Over Texas,Joker,120.0,38.0,1019.0,0,https://rcdb.com/14188.htm
Six Flags,Six Flags Over Texas,Mr. Freeze,218.0,70.0,1300.0,1,https://rcdb.com/281.htm
Six Flags,Six Flags Over Texas,Batman The Ride,105.0,50.0,2700.0,5,https://rcdb.com/552.htm
Six Flags,Six Flags Over Texas,Runaway Mine Train,35.0,35.0,2485.0,0,https://rcdb.com/30.htm
Six Flags,Six Flags Over Texas,Judge Roy Scream,71.0,45.0,2670.0,0,https://rcdb.com/29.htm
Six Flags,Six Flags Over Texas,Runaway Mountain,65.0,40.0,1500.0,0,https://rcdb.com/31.htm
Six Flags,Six Flags Over Texas,Mini Mine Train,20.0,20.0,910.0,0,https://rcdb.com/97.htm
Six Flags,Six Flags Over Texas,Wile E. Coyote's Grand Canyon Blaster,16.1,15.0,,0,https://rcdb.com/1117.htm
Six Flags,Six Flags Over Texas,Titan,245.0,85.0,5312.0,0,https://rcdb.com/742.htm
Six Flags,Six Flags Over Texas,Shock Wave,116.0,60.0,3600.0,2,https://rcdb.com/28.htm
Six Flags,Six Flags Over Texas,Aquaman: Power Wave,146.3,62.1,708.7,0,https://rcdb.com/17653.htm
Six Flags,Six Flags Over Texas,Pandemonium,53.0,31.0,1351.0,0,https://rcdb.com/4042.htm
Six Flags,Six Flags Fiesta Texas,Batgirl Coaster Chase,,,278.9,0,https://rcdb.com/207.htm
Six Flags,Six Flags Fiesta Texas,Superman Krypton Coaster,168.0,70.0,4025.0,6,https://rcdb.com/605.htm
Six Flags,Six Flags Fiesta Texas,Chupacabra,105.0,50.0,2693.0,5,https://rcdb.com/3976.htm
Six Flags,Six Flags Fiesta Texas,Boomerang Coast to Coaster,116.5,47.0,935.0,3,https://rcdb.com/529.htm
Six Flags,Six Flags Fiesta Texas,Dr. Diabolical's Cliffhanger,150.0,60.0,2501.0,2,https://rcdb.com/19495.htm
Six Flags,Six Flags Fiesta Texas,Wonder Woman Golden Lasso Coaster,113.0,52.0,1800.0,3,https://rcdb.com/15368.htm
Six Flags,Six Flags Fiesta Texas,Road Runner Express,73.0,35.0,2400.0,0,https://rcdb.com/265.htm
Six Flags,Six Flags Fiesta Texas,Pandemonium,48.0,31.0,1351.0,0,https://rcdb.com/3751.htm
Six Flags,Six Flags Fiesta Texas,Batman The Ride,120.0,38.0,1019.0,0,https://rcdb.com/12283.htm
Six Flags,Six Flags Fiesta Texas,Iron Rattler,179.0,70.0,3266.0,1,https://rcdb.com/11663.htm
Six Flags,Six Flags Fiesta Texas,Poltergeist,78.8,60.0,2705.0,4,https://rcdb.com/528.htm
Six Flags,Six Flags Over Georgia,Georgia Gold Rusher,144.0,60.0,590.0,0,https://rcdb.com/21112.htm
Six Flags,Six Flags Over Georgia,Georgia Scorcher,107.0,54.0,3000.0,2,https://rcdb.com/556.htm
Six Flags,Six Flags Over Georgia,Blue Hawk,122.0,52.0,2739.5,5,https://rcdb.com/40.htm
Six Flags,Six Flags Over Georgia,Twisted Cyclone,100.0,50.0,2400.0,3,https://rcdb.com/15457.htm
Six Flags,Six Flags Over Georgia,Dahlonega Mine Train,37.0,29.0,2327.0,0,https://rcdb.com/42.htm
Six Flags,Six Flags Over Georgia,Dare Devil Dive,95.0,52.0,2099.0,3,https://rcdb.com/9430.htm
Six Flags,Six Flags Over Georgia,Joker Funhouse Coaster,,30.0,900.0,0,https://rcdb.com/2655.htm
Six Flags,Six Flags Over Georgia,Riddler Mindbender,80.0,50.0,3253.0,2,https://rcdb.com/37.htm
Six Flags,Six Flags Over Georgia,Superman - Ultimate Flight,106.0,51.0,2759.0,2,https://rcdb.com/1568.htm
Six Flags,Six Flags Over Georgia,Batman The Ride,105.0,50.0,2700.0,5,https://rcdb.com/421.htm
Six Flags,Six Flags Over Georgia,Goliath,200.0,70.0,4480.0,0,https://rcdb.com/3290.htm
Six Flags,Six Flags Over Georgia,Great American Scream Machine,105.0,57.0,3450.0,0,https://rcdb.com/41.htm
Six Flags,Six Flags New England,Wicked Cyclone,109.0,55.0,3320.0,3,https://rcdb.com/1981.htm
Six Flags,Six Flags New England,Catwoman's Whip,26.3,22.4,1181.1,0,https://rcdb.com/630.htm
Six Flags,Six Flags New England,Batman - The Dark Knight,117.8,55.0,2600.0,5,https://rcdb.com/1549.htm
Six Flags,Six Flags New England,Riddler Revenge,109.3,49.7,2260.5,5,https://rcdb.com/429.htm
Six Flags,Six Flags New England,Joker,120.0,38.0,1019.0,0,https://rcdb.com/14189.htm
Six Flags,Six Flags New England,Great Chase,,,,0,https://rcdb.com/183.htm
Six Flags,Six Flags New England,Gotham City Gauntlet Escape from Arkham Asylum,49.3,28.0,1213.9,0,https://rcdb.com/9431.htm
Six Flags,Six Flags New England,Pandemonium,42.0,,,0,https://rcdb.com/3031.htm
Six Flags,Six Flags New England,Thunderbolt,70.0,40.0,2600.0,0,https://rcdb.com/182.htm
Six Flags,Six Flags New England,Flashback,116.5,47.0,935.0,3,https://rcdb.com/629.htm
Six Flags,Six Flags New England,Superman the Ride,208.0,77.0,5400.0,0,https://rcdb.com/628.htm
Six Flags,Six Flags Discovery Kingdom,Cobra,26.3,22.4,1181.1,0,https://rcdb.com/691.htm
